,ds,y
403,2020/2/9,3084
404,2020/2/10,3146
405,2020/2/11,3219
406,2020/2/12,3348
407,2020/2/13,3246
408,2020/2/14,3123
409,2020/2/15,2996
410,2020/2/16,3985
411,2020/2/17,3744
412,2020/2/18,4249
413,2020/2/19,3564
414,2020/2/20,3131
415,2020/2/21,3138
416,2020/2/22,3674
417,2020/2/23,3740
418,2020/2/24,3010
419,2020/2/25,3124
420,2020/2/26,3167
421,2020/2/27,4253
422,2020/2/28,3286
423,2020/2/29,2806
424,2020/3/1,3320
425,2020/3/2,3295
426,2020/3/3,3106
427,2020/3/4,3758
428,2020/3/5,3518
429,2020/3/6,3179
430,2020/3/7,3712
431,2020/3/8,3379
432,2020/3/9,3208
433,2020/3/10,3941
434,2020/3/11,3255
435,2020/3/12,3002
436,2020/3/13,3098
437,2020/3/14,3826
438,2020/3/15,3493
439,2020/3/16,4820
440,2020/3/17,4143
441,2020/3/18,4153
442,2020/3/19,3085
443,2020/3/20,3700
444,2020/3/21,3020
445,2020/3/22,3086
446,2020/3/23,3771
447,2020/3/24,4125
448,2020/3/25,3577
449,2020/3/26,3187
450,2020/3/27,3264
451,2020/3/28,4066
452,2020/3/29,3489
453,2020/3/30,3508
454,2020/3/31,3322
455,2020/4/1,4095
456,2020/4/2,4108
457,2020/4/3,3749
458,2020/4/4,4414
459,2020/4/5,4249
460,2020/4/6,4054
461,2020/4/7,4037
462,2020/4/8,3364
463,2020/4/9,3678
464,2020/4/10,4650
465,2020/4/11,3179
466,2020/4/12,2809
467,2020/4/13,3328
468,2020/4/14,3563
469,2020/4/15,3497
470,2020/4/16,3144
471,2020/4/17,3609
472,2020/4/18,3489
473,2020/4/19,3028
474,2020/4/20,4091
475,2020/4/21,4376
476,2020/4/22,4031
477,2020/4/23,3948
478,2020/4/24,3948
479,2020/4/25,3166
480,2020/4/26,3120
481,2020/4/27,3810
482,2020/4/28,4687
483,2020/4/29,3346
484,2020/4/30,4864
485,2020/5/1,3512
486,2020/5/2,3414
487,2020/5/3,2967
488,2020/5/4,3476
489,2020/5/5,3400
490,2020/5/6,3426
491,2020/5/7,3736
492,2020/5/8,3414
493,2020/5/9,3823
494,2020/5/10,3015
495,2020/5/11,3350
496,2020/5/12,3766
497,2020/5/13,4199
498,2020/5/14,3382
499,2020/5/15,3622
500,2020/5/16,3947
501,2020/5/17,4241
502,2020/5/18,4085
503,2020/5/19,4626
504,2020/5/20,4951
505,2020/5/21,3983
506,2020/5/22,3675
507,2020/5/23,4061
508,2020/5/24,4289
509,2020/5/25,3942
510,2020/5/26,3563
511,2020/5/27,4932
512,2020/5/28,5261
513,2020/5/29,4098
514,2020/5/30,4186
515,2020/5/31,3430
516,2020/6/1,3633
517,2020/6/2,4071
518,2020/6/3,4163
519,2020/6/4,3754
520,2020/6/5,3683
521,2020/6/6,4240
522,2020/6/7,4535
523,2020/6/8,4580
524,2020/6/9,4515
525,2020/6/10,4367
526,2020/6/11,3986
527,2020/6/12,3586
528,2020/6/13,3764
529,2020/6/14,4572
530,2020/6/15,5033
531,2020/6/16,4022
532,2020/6/17,3975
533,2020/6/18,4191
534,2020/6/19,3862
535,2020/6/20,3675
536,2020/6/21,3484
537,2020/6/22,3849
538,2020/6/23,3768
539,2020/6/24,4086
540,2020/6/25,3379
541,2020/6/26,3907
542,2020/6/27,3620
543,2020/6/28,3412
544,2020/6/29,4013
545,2020/6/30,4647
546,2020/7/1,4029
547,2020/7/2,4458
548,2020/7/3,4131
549,2020/7/4,4287
550,2020/7/5,3475
551,2020/7/6,5016
552,2020/7/7,4610
553,2020/7/8,4315
554,2020/7/9,4367
555,2020/7/10,4379
556,2020/7/11,3671
557,2020/7/12,3518
558,2020/7/13,3974
559,2020/7/14,3924
560,2020/7/15,4210
561,2020/7/16,5085
562,2020/7/17,4256
563,2020/7/18,4321
564,2020/7/19,4128
565,2020/7/20,4269
566,2020/7/21,5133
567,2020/7/22,4266
568,2020/7/23,3848
569,2020/7/24,4129
570,2020/7/25,4697
571,2020/7/26,4718
572,2020/7/27,4565
573,2020/7/28,4531
574,2020/7/29,4845
575,2020/7/30,5460
576,2020/7/31,4138
577,2020/8/1,4121
578,2020/8/2,3810
579,2020/8/3,4898
580,2020/8/4,4353
581,2020/8/5,4387
582,2020/8/6,3853
583,2020/8/7,3860
584,2020/8/8,3871
585,2020/8/9,3187
586,2020/8/10,3726
587,2020/8/11,4384
588,2020/8/12,4270
589,2020/8/13,4651
590,2020/8/14,5022
591,2020/8/15,4941
592,2020/8/16,4622
593,2020/8/17,4585
594,2020/8/18,4236
595,2020/8/19,3869
596,2020/8/20,4384
597,2020/8/21,3862
598,2020/8/22,3398
599,2020/8/23,3297
600,2020/8/24,3694
601,2020/8/25,3812
602,2020/8/26,3796
603,2020/8/27,4545
604,2020/8/28,4272
605,2020/8/29,4174
606,2020/8/30,4086
607,2020/8/31,4719
608,2020/9/1,4478
609,2020/9/2,3869
610,2020/9/3,4811
611,2020/9/4,4870
612,2020/9/5,3923
613,2020/9/6,3873
614,2020/9/7,4362
615,2020/9/8,4155
616,2020/9/9,4177
617,2020/9/10,4255
618,2020/9/11,4084
619,2020/9/12,3383
620,2020/9/13,3024
621,2020/9/14,3718
622,2020/9/15,3725
623,2020/9/16,3733
624,2020/9/17,3724
625,2020/9/18,3729
626,2020/9/19,3317
627,2020/9/20,3885
628,2020/9/21,4562
629,2020/9/22,5125
