date,year,month,day,Day of the week,work
2019/11/18,2019,11,18,1,TRUE
2019/11/19,2019,11,19,2,TRUE
2019/11/20,2019,11,20,3,TRUE
2019/11/21,2019,11,21,4,TRUE
2019/11/22,2019,11,22,5,TRUE
2019/11/23,2019,11,23,6,FALSE
2019/11/24,2019,11,24,7,FALSE
2019/11/25,2019,11,25,1,TRUE
2019/11/26,2019,11,26,2,TRUE
2019/11/27,2019,11,27,3,TRUE
2019/11/28,2019,11,28,4,TRUE
2019/11/29,2019,11,29,5,TRUE
2019/11/30,2019,11,30,6,FALSE
2019/12/1,2019,12,1,7,FALSE
2019/12/2,2019,12,2,1,TRUE
2019/12/3,2019,12,3,2,TRUE
2019/12/4,2019,12,4,3,TRUE
2019/12/5,2019,12,5,4,TRUE
2019/12/6,2019,12,6,5,TRUE
2019/12/7,2019,12,7,6,FALSE
2019/12/8,2019,12,8,7,FALSE
2019/12/9,2019,12,9,1,TRUE
2019/12/10,2019,12,10,2,TRUE
2019/12/11,2019,12,11,3,TRUE
2019/12/12,2019,12,12,4,TRUE
2019/12/13,2019,12,13,5,TRUE
2019/12/14,2019,12,14,6,FALSE
2019/12/15,2019,12,15,7,FALSE
2019/12/16,2019,12,16,1,TRUE
2019/12/17,2019,12,17,2,TRUE
2019/12/18,2019,12,18,3,TRUE
2019/12/19,2019,12,19,4,TRUE
2019/12/20,2019,12,20,5,TRUE
2019/12/21,2019,12,21,6,FALSE
2019/12/22,2019,12,22,7,FALSE
2019/12/23,2019,12,23,1,TRUE
2019/12/24,2019,12,24,2,TRUE
2019/12/25,2019,12,25,3,TRUE
2019/12/26,2019,12,26,4,TRUE
2019/12/27,2019,12,27,5,TRUE
2019/12/28,2019,12,28,6,FALSE
2019/12/29,2019,12,29,7,FALSE
2019/12/30,2019,12,30,1,TRUE
2019/12/31,2019,12,31,2,TRUE
2020/1/1,2020,1,1,3,FALSE
2020/1/2,2020,1,2,4,TRUE
2020/1/3,2020,1,3,5,TRUE
2020/1/4,2020,1,4,6,FALSE
2020/1/5,2020,1,5,7,FALSE
2020/1/6,2020,1,6,1,TRUE
2020/1/7,2020,1,7,2,TRUE
2020/1/8,2020,1,8,3,TRUE
2020/1/9,2020,1,9,4,TRUE
2020/1/10,2020,1,10,5,TRUE
2020/1/11,2020,1,11,6,FALSE
2020/1/12,2020,1,12,7,FALSE
2020/1/13,2020,1,13,1,TRUE
2020/1/14,2020,1,14,2,TRUE
2020/1/15,2020,1,15,3,TRUE
2020/1/16,2020,1,16,4,TRUE
2020/1/17,2020,1,17,5,TRUE
2020/1/18,2020,1,18,6,FALSE
2020/1/19,2020,1,19,7,FALSE
2020/1/20,2020,1,20,1,TRUE
2020/1/21,2020,1,21,2,TRUE
2020/1/22,2020,1,22,3,TRUE
2020/1/23,2020,1,23,4,FALSE
2020/1/24,2020,1,24,5,FALSE
2020/1/25,2020,1,25,6,FALSE
2020/1/26,2020,1,26,7,FALSE
2020/1/27,2020,1,27,1,FALSE
2020/1/28,2020,1,28,2,FALSE
2020/1/29,2020,1,29,3,FALSE
2020/1/30,2020,1,30,4,TRUE
2020/1/31,2020,1,31,5,TRUE
2020/2/1,2020,2,1,6,FALSE
2020/2/2,2020,2,2,7,FALSE
2020/2/3,2020,2,3,1,TRUE
2020/2/4,2020,2,4,2,TRUE
2020/2/5,2020,2,5,3,TRUE
2020/2/6,2020,2,6,4,TRUE
2020/2/7,2020,2,7,5,TRUE
2020/2/8,2020,2,8,6,FALSE
2020/2/9,2020,2,9,7,FALSE
2020/2/10,2020,2,10,1,TRUE
2020/2/11,2020,2,11,2,TRUE
2020/2/12,2020,2,12,3,TRUE
