date,year,month,day,Day of the week,work,備轉容量(MW),備轉容量率(%)
2019/12/24,2019,12,24,2,TRUE,3284,11.32
2019/12/25,2019,12,25,3,TRUE,3606,12.45
2019/12/26,2019,12,26,4,TRUE,3263,11.27
2019/12/27,2019,12,27,5,TRUE,3206,11.5
2019/12/28,2019,12,28,6,FALSE,3153,12.43
2019/12/29,2019,12,29,7,FALSE,2899,11.6
2019/12/30,2019,12,30,1,TRUE,3143,11.23
2019/12/31,2019,12,31,2,TRUE,3108,11.36
2020/1/1,2020,1,1,3,FALSE,2790,11.01
2020/1/2,2020,1,2,4,TRUE,3080,10.91
2020/1/3,2020,1,3,5,TRUE,3383,11.96
2020/1/4,2020,1,4,6,FALSE,3636,14.21
2020/1/5,2020,1,5,7,FALSE,2695,10.88
2020/1/6,2020,1,6,1,TRUE,3010,10.51
2020/1/7,2020,1,7,2,TRUE,3104,10.65
2020/1/8,2020,1,8,3,TRUE,3235,11.33
2020/1/9,2020,1,9,4,TRUE,3131,10.9
2020/1/10,2020,1,10,5,TRUE,3298,11.58
2020/1/11,2020,1,11,6,FALSE,3851,15.2
2020/1/12,2020,1,12,7,FALSE,3091,12.44
2020/1/13,2020,1,13,1,TRUE,3157,11.02
2020/1/14,2020,1,14,2,TRUE,3412,11.85
2020/1/15,2020,1,15,3,TRUE,3386,11.91
2020/1/16,2020,1,16,4,TRUE,3005,10.47
2020/1/17,2020,1,17,5,TRUE,3399,12.06
2020/1/18,2020,1,18,6,FALSE,3159,12.12
2020/1/19,2020,1,19,7,FALSE,3335,13.17
2020/1/20,2020,1,20,1,TRUE,3183,11.38
2020/1/21,2020,1,21,2,TRUE,3259,11.84
2020/1/22,2020,1,22,3,TRUE,3886,15.09
2020/1/23,2020,1,23,4,FALSE,3344,14.21
2020/1/24,2020,1,24,5,FALSE,3483,16.17
2020/1/25,2020,1,25,6,FALSE,3551,16.89
2020/1/26,2020,1,26,7,FALSE,3528,16.66
2020/1/27,2020,1,27,1,FALSE,3704,17.06
2020/1/28,2020,1,28,2,FALSE,3653,16.01
2020/1/29,2020,1,29,3,FALSE,3303,13.77
2020/1/30,2020,1,30,4,TRUE,2991,11.36
2020/1/31,2020,1,31,5,TRUE,3361,12.58
2020/2/1,2020,2,1,6,FALSE,3890,15.43
2020/2/2,2020,2,2,7,FALSE,3247,13.08
2020/2/3,2020,2,3,1,TRUE,4088,14.62
2020/2/4,2020,2,4,2,TRUE,3302,11.61
2020/2/5,2020,2,5,3,TRUE,3643,12.83
2020/2/6,2020,2,6,4,TRUE,3347,11.75
2020/2/7,2020,2,7,5,TRUE,3767,13.32
2020/2/8,2020,2,8,6,FALSE,3660,14.28
2020/2/9,2020,2,9,7,FALSE,3084,12.26
2020/2/10,2020,2,10,1,TRUE,3146,11.12
2020/2/11,2020,2,11,2,TRUE,3219,11.23
2020/2/12,2020,2,12,3,TRUE,3348,11.73
2020/2/13,2020,2,13,4,TRUE,3246,11.16
2020/2/14,2020,2,14,5,TRUE,3123,10.7
2020/2/15,2020,2,15,6,TRUE,2996,10.79
2020/2/16,2020,2,16,7,FALSE,3985,15.9
2020/2/17,2020,2,17,1,TRUE,3744,13.23
2020/2/18,2020,2,18,2,TRUE,4249,14.95
2020/2/19,2020,2,19,3,TRUE,3564,12.56
2020/2/20,2020,2,20,4,TRUE,3131,10.94
2020/2/21,2020,2,21,5,TRUE,3138,11
2020/2/22,2020,2,22,6,FALSE,3674,14.11
2020/2/23,2020,2,23,7,FALSE,3740,14.92
2020/2/24,2020,2,24,1,TRUE,3010,10.44
2020/2/25,2020,2,25,2,TRUE,3124,10.7
2020/2/26,2020,2,26,3,TRUE,3167,10.75
2020/2/27,2020,2,27,4,TRUE,4253,14.99
2020/2/28,2020,2,28,5,FALSE,3286,12.47
2020/2/29,2020,2,29,6,FALSE,2806,10.93
2020/3/1,2020,3,1,7,FALSE,3320,13.29
2020/3/2,2020,3,2,1,TRUE,3295,11.54
2020/3/3,2020,3,3,2,TRUE,3106,10.64
2020/3/4,2020,3,4,3,TRUE,3758,13.02
2020/3/5,2020,3,5,4,TRUE,3518,12.3
