日期,備轉容量(萬瓩),備轉容量率(%)
2020/12/2,305,10.33
2020/12/3,316.8,10.81
2020/12/4,308.4,10.5
2020/12/5,361.8,13.58
2020/12/6,269.1,10.51
2020/12/7,310.6,10.45
2020/12/8,316.4,10.59
2020/12/9,309.4,10.27
2020/12/10,308.6,10.22
2020/12/11,312.9,10.46
2020/12/12,328.2,12.31
2020/12/13,283,11.12
2020/12/14,302.1,10.2
2020/12/15,301.2,10.14
2021/1/1,276.7,10.76
2021/1/2,293.6,11.52
2021/1/3,303.7,11.92
2021/1/4,303.2,10.2
2021/1/5,306.7,10.21
2021/1/6,310.2,10.23
2021/1/7,310.2,10.17
2021/1/8,310.5,10.21
2021/1/9,320.2,11.41
2021/1/10,290.6,10.66
2021/1/11,309.3,10.08
2021/1/12,311.6,10.17
2021/1/13,311.4,10.38
2021/1/14,313.2,10.43
2021/1/15,331,11.2
2021/1/16,304.6,11.23
2021/1/17,303.5,11.36
2021/1/18,315.7,10.55
2021/1/19,315.9,10.53
2021/1/20,314.9,10.5
2021/1/21,307.4,10.15
2021/1/22,309.7,10.29
2021/1/23,320.3,11.77
2021/1/24,307.3,11.95
2021/1/25,326.9,10.97
2021/1/26,321.9,10.75
2021/1/27,306.4,10.36
2021/1/28,328.6,11.12
2021/1/29,320.3,10.94
2021/1/30,344.7,12.93
2021/1/31,290.6,11.41
2021/2/1,293.8,10.12
2021/2/2,304.5,10.24
2021/2/3,300.6,10.15
2021/2/4,313.2,10.56
2021/2/5,306,10.45
2021/2/6,306.6,11.49
2021/2/7,276.3,10.66
2021/2/8,304.7,10.92
2021/2/9,288,11.03
2021/2/10,288.8,11.85
2021/2/11,283.3,12.8
2021/2/12,299.2,13.65
2021/2/13,302.4,13.77
2021/2/14,291.1,12.97
2021/2/15,264.5,11.27
2021/2/16,300.2,12.15
2021/2/17,282.4,10.13
2021/2/18,290.7,10.19
2021/2/19,288.5,10.08
2021/2/20,297.5,10.86
2021/2/21,313.9,12.43
2021/2/22,298.9,10.18
2021/2/23,310.9,10.39
2021/2/24,304.9,10.15
2021/2/25,302.9,10.07
2021/2/26,304.1,10.23
2021/2/27,275.8,10.42
2021/2/28,267.2,10.68
2021/3/1,283.2,10.66
2021/3/2,322.1,10.95
2021/3/3,307.5,10.36
2021/3/4,308.8,10.37
2021/3/5,326.8,10.94
2021/3/6,280.5,10.42
2021/3/7,275.2,10.67
2021/3/8,311,10.45
