,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
430,2020-03-06,3949.4885606660296,2634.661319856518,4018.008806326687,3949.4885606660296,3949.4885606660296,-618.5449125898955,-618.5449125898955,-618.5449125898955,66.25045783953384,66.25045783953384,66.25045783953384,-684.7953704294293,-684.7953704294293,-684.7953704294293,0.0,0.0,0.0,3330.943648076134
431,2020-03-07,3948.646867656118,2632.4211157463596,3946.0270833750114,3948.646867656118,3948.646867656118,-667.5595110238634,-667.5595110238634,-667.5595110238634,7.31572818904845,7.31572818904845,7.31572818904845,-674.8752392129119,-674.8752392129119,-674.8752392129119,0.0,0.0,0.0,3281.087356632255
432,2020-03-08,3947.8051746462056,2471.9248430837724,3787.6245811762083,3947.805174646206,3947.805174646206,-807.5331288354104,-807.5331288354104,-807.5331288354104,-144.34706851125054,-144.34706851125054,-144.34706851125054,-663.1860603241599,-663.1860603241599,-663.1860603241599,0.0,0.0,0.0,3140.272045810795
433,2020-03-09,3946.963481636294,2653.171399896367,3980.0004859542387,3946.963481636294,3946.963481636294,-608.1161478669053,-608.1161478669053,-608.1161478669053,41.90378920416179,41.90378920416179,41.90378920416179,-650.0199370710671,-650.0199370710671,-650.0199370710671,0.0,0.0,0.0,3338.8473337693886
434,2020-03-10,3946.1217886263826,2675.8999666362665,4008.714800287382,3946.1217886263826,3946.1217886263826,-631.1086333211201,-631.1086333211201,-631.1086333211201,4.596392493119529,4.596392493119529,4.596392493119529,-635.7050258142395,-635.7050258142395,-635.7050258142395,0.0,0.0,0.0,3315.0131553052624
435,2020-03-11,3945.2800956164706,2666.2766847566895,4037.887409325761,3945.2800956164706,3945.2800956164706,-611.8079115028488,-611.8079115028488,-611.8079115028488,8.788991564374907,8.788991564374907,8.788991564374907,-620.5969030672238,-620.5969030672238,-620.5969030672238,0.0,0.0,0.0,3333.4721841136216
436,2020-03-12,3944.438402606559,2643.141761107471,4052.638297443559,3944.438402606559,3944.438402606559,-589.5773749744964,-589.5773749744964,-589.5773749744964,15.491709220876428,15.491709220876428,15.491709220876428,-605.0690841953729,-605.0690841953729,-605.0690841953729,0.0,0.0,0.0,3354.861027632063
437,2020-03-13,3943.5967095966475,2737.687832408712,4074.808560002418,3943.5967095966475,3943.5967095966475,-523.2525067580084,-523.2525067580084,-523.2525067580084,66.25045783912924,66.25045783912924,66.25045783912924,-589.5029645971376,-589.5029645971376,-589.5029645971376,0.0,0.0,0.0,3420.344202838639
438,2020-03-14,3942.755016586736,2712.608529146602,4068.022299150105,3942.755016586736,3942.755016586736,-566.9617460660172,-566.9617460660172,-566.9617460660172,7.315728188754874,7.315728188754874,7.315728188754874,-574.2774742547721,-574.2774742547721,-574.2774742547721,0.0,0.0,0.0,3375.7932705207186
439,2020-03-15,3941.9133235768236,2586.7124153889135,3909.3246426023675,3941.9133235768236,3941.9133235768236,-704.1058163874776,-704.1058163874776,-704.1058163874776,-144.34706851125932,-144.34706851125932,-144.34706851125932,-559.7587478762182,-559.7587478762182,-559.7587478762182,0.0,0.0,0.0,3237.807507189346
440,2020-03-16,3941.071630566912,2799.3387411394724,4099.657057120239,3941.071630566912,3941.071630566912,-504.3863258899309,-504.3863258899309,-504.3863258899309,41.90378920424283,41.90378920424283,41.90378920424283,-546.2901150941738,-546.2901150941738,-546.2901150941738,0.0,0.0,0.0,3436.685304676981
441,2020-03-17,3940.2299375570005,2732.764419700483,4082.9889257938034,3940.2299375570005,3940.2299375570005,-529.5863156838858,-529.5863156838858,-529.5863156838858,4.596392492961657,4.596392492961657,4.596392492961657,-534.1827081768475,-534.1827081768475,-534.1827081768475,0.0,0.0,0.0,3410.6436218731146
442,2020-03-18,3939.388244547088,2786.915004039242,4110.846252098065,3939.388244547088,3939.388244547088,-514.9179770106973,-514.9179770106973,-514.9179770106973,8.788991564285482,8.788991564285482,8.788991564285482,-523.7069685749829,-523.7069685749829,-523.7069685749829,0.0,0.0,0.0,3424.4702675363906
443,2020-03-19,3938.5465515371766,2821.5000220101037,4119.788533582293,3938.5465515371766,3938.5465515371766,-499.59359955801506,-499.59359955801506,-499.59359955801506,15.491709220690888,15.491709220690888,15.491709220690888,-515.0853087787059,-515.0853087787059,-515.0853087787059,0.0,0.0,0.0,3438.9529519791613
444,2020-03-20,3937.704858527265,2857.5186961556765,4184.350471809108,3937.704858527265,3937.704858527265,-442.23569523359043,-442.23569523359043,-442.23569523359043,66.250457839443,66.250457839443,66.250457839443,-508.48615307303345,-508.48615307303345,-508.48615307303345,0.0,0.0,0.0,3495.4691632936747
445,2020-03-21,3936.863165517354,2753.443832453567,4077.389064130189,3936.863165517354,3936.863165517354,-496.7038125982416,-496.7038125982416,-496.7038125982416,7.315728188702679,7.315728188702679,7.315728188702679,-504.0195407869442,-504.0195407869442,-504.0195407869442,0.0,0.0,0.0,3440.1593529191123
446,2020-03-22,3936.0214725074416,2593.1043692906032,3968.8789157622627,3936.0214725074416,3936.0214725074416,-646.0814981979526,-646.0814981979526,-646.0814981979526,-144.34706851126813,-144.34706851126813,-144.34706851126813,-501.73442968668434,-501.73442968668434,-501.73442968668434,0.0,0.0,0.0,3289.939974309489
447,2020-03-23,3935.17977949753,2840.630863838247,4155.8280014609745,3935.17977949753,3935.17977949753,-459.71399741341753,-459.71399741341753,-459.71399741341753,41.90378920435291,41.90378920435291,41.90378920435291,-501.6177866177704,-501.6177866177704,-501.6177866177704,0.0,0.0,0.0,3475.4657820841126
448,2020-03-24,3934.3380864876185,2786.322459194332,4081.5409977791255,3934.3380864876185,3934.3380864876185,-498.99910636053215,-498.99910636053215,-498.99910636053215,4.596392493144209,4.596392493144209,4.596392493144209,-503.5954988536763,-503.5954988536763,-503.5954988536763,0.0,0.0,0.0,3435.3389801270864
449,2020-03-25,3933.496393477706,2821.6085290489527,4163.29102165547,3933.496393477706,3933.496393477706,-498.74609290880454,-498.74609290880454,-498.74609290880454,8.78899156461813,8.78899156461813,8.78899156461813,-507.53508447342267,-507.53508447342267,-507.53508447342267,0.0,0.0,0.0,3434.7503005689014
450,2020-03-26,3932.6547004677946,2747.9150205810324,4103.486087913944,3932.6547004677946,3932.6547004677946,-497.75841591512017,-497.75841591512017,-497.75841591512017,15.491709221165488,15.491709221165488,15.491709221165488,-513.2501251362856,-513.2501251362856,-513.2501251362856,0.0,0.0,0.0,3434.8962845526744
451,2020-03-27,3931.813007457883,2844.8074321563868,4121.944622575528,3931.813007457883,3931.813007457883,-454.2558336909616,-454.2558336909616,-454.2558336909616,66.25045783935555,66.25045783935555,66.25045783935555,-520.5062915303172,-520.5062915303172,-520.5062915303172,0.0,0.0,0.0,3477.5571737669216
452,2020-03-28,3930.9713144479706,2739.6831062301444,4085.6396296635794,3930.9713144479706,3930.9713144479706,-521.7130539938292,-521.7130539938292,-521.7130539938292,7.315728188650475,7.315728188650475,7.315728188650475,-529.0287821824797,-529.0287821824797,-529.0287821824797,0.0,0.0,0.0,3409.2582604541412
453,2020-03-29,3930.129621438059,2587.1980867296247,3947.5299993150534,3930.129621438059,3930.129621438059,-682.8580202927814,-682.8580202927814,-682.8580202927814,-144.34706851127697,-144.34706851127697,-144.34706851127697,-538.5109517815043,-538.5109517815043,-538.5109517815043,0.0,0.0,0.0,3247.2716011452776
454,2020-03-30,3929.287928428148,2725.8682820467375,4101.350519405699,3929.287928428148,3929.287928428148,-506.72007788228467,-506.72007788228467,-506.72007788228467,41.90378920440486,41.90378920440486,41.90378920440486,-548.6238670866895,-548.6238670866895,-548.6238670866895,0.0,0.0,0.0,3422.567850545863
455,2020-03-31,3926.7410776890506,2715.5887855462797,4032.2195560797254,3926.7410776890506,3926.7410776890506,-554.4301056150432,-554.4301056150432,-554.4301056150432,4.596392493131769,4.596392493131769,4.596392493131769,-559.026498108175,-559.026498108175,-559.026498108175,0.0,0.0,0.0,3372.3109720740076
456,2020-04-01,3924.1942269499536,2707.2094069786767,3966.9895405672546,3924.1942269499536,3924.1942269499536,-560.5872389784133,-560.5872389784133,-560.5872389784133,8.788991564528713,8.788991564528713,8.788991564528713,-569.376230542942,-569.376230542942,-569.376230542942,0.0,0.0,0.0,3363.6069879715405
457,2020-04-02,3921.647376210856,2687.360157923438,4057.4354787833668,3921.647376210856,3921.647376210856,-563.8476639727021,-563.8476639727021,-563.8476639727021,15.491709220979951,15.491709220979951,15.491709220979951,-579.339373193682,-579.339373193682,-579.339373193682,0.0,0.0,0.0,3357.799712238154
458,2020-04-03,3919.100525471759,2704.7328700713897,4058.513593482829,3919.100525471759,3919.100525471759,-522.3508739033643,-522.3508739033643,-522.3508739033643,66.25045783958521,66.25045783958521,66.25045783958521,-588.6013317429496,-588.6013317429496,-588.6013317429496,0.0,0.0,0.0,3396.7496515683943
