,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
215,2019-08-04,13.246480058175603,12.403074301534108,17.631868620781045,13.246480058175603,13.246480058175603,1.7547407163688458,1.7547407163688458,1.7547407163688458,0.7907000898390145,0.7907000898390145,0.7907000898390145,0.9640406265298312,0.9640406265298312,0.9640406265298312,0.0,0.0,0.0,15.001220774544448
216,2019-08-05,13.272442904770445,11.447248081689787,16.626511074251408,13.272442904770445,13.272442904770445,0.7969420146401833,0.7969420146401833,0.7969420146401833,-0.2852490297823771,-0.2852490297823771,-0.2852490297823771,1.0821910444225604,1.0821910444225604,1.0821910444225604,0.0,0.0,0.0,14.069384919410629
217,2019-08-06,13.298405751365285,11.356369397927995,16.70494876909372,13.298405751365285,13.298405751365285,0.7306601944018803,0.7306601944018803,0.7306601944018803,-0.4705621973368597,-0.4705621973368597,-0.4705621973368597,1.2012223917387401,1.2012223917387401,1.2012223917387401,0.0,0.0,0.0,14.029065945767165
218,2019-08-07,13.324368597960127,11.467282558490064,16.582733846920316,13.324368597960127,13.324368597960127,0.8485322744594783,0.8485322744594783,0.8485322744594783,-0.4700813176279533,-0.4700813176279533,-0.4700813176279533,1.3186135920874316,1.3186135920874316,1.3186135920874316,0.0,0.0,0.0,14.172900872419605
219,2019-08-08,13.350331444554968,11.93959429596175,16.93240007903906,13.350331444554968,13.350331444554968,1.0262780983112292,1.0262780983112292,1.0262780983112292,-0.40552021365868235,-0.40552021365868235,-0.40552021365868235,1.4317983119699116,1.4317983119699116,1.4317983119699116,0.0,0.0,0.0,14.376609542866197
220,2019-08-09,13.37629429114981,12.173939567735975,17.281754873630714,13.37629429114981,13.37629429114981,1.4787797519744885,1.4787797519744885,1.4787797519744885,-0.059456216559680385,-0.059456216559680385,-0.059456216559680385,1.5382359685341689,1.5382359685341689,1.5382359685341689,0.0,0.0,0.0,14.855074043124299
221,2019-08-10,13.402257137744652,13.565937948727619,18.597542431730773,13.402257137744652,13.402257137744652,2.5356521411087414,2.5356521411087414,2.5356521411087414,0.9001688851261964,0.9001688851261964,0.9001688851261964,1.6354832559825447,1.6354832559825447,1.6354832559825447,0.0,0.0,0.0,15.937909278853393
222,2019-08-11,13.428219984339492,13.407617489842439,18.469264525998554,13.428219984339492,13.428219984339492,2.511964286836744,2.511964286836744,2.511964286836744,0.7907000898396658,0.7907000898396658,0.7907000898396658,1.7212641969970777,1.7212641969970777,1.7212641969970777,0.0,0.0,0.0,15.940184271176236
223,2019-08-12,13.454182830934334,12.28871500156498,17.456662914997676,13.454182830934334,13.454182830934334,1.508287722307724,1.508287722307724,1.508287722307724,-0.2852490297834578,-0.2852490297834578,-0.2852490297834578,1.7935367520911818,1.7935367520911818,1.7935367520911818,0.0,0.0,0.0,14.962470553242058
224,2019-08-13,13.480145677529174,12.358580942779405,17.595148568251943,13.480145677529176,13.480145677529176,1.3799919036727062,1.3799919036727062,1.3799919036727062,-0.47056219733673643,-0.47056219733673643,-0.47056219733673643,1.8505541010094426,1.8505541010094426,1.8505541010094426,0.0,0.0,0.0,14.860137581201881
225,2019-08-14,13.506108524124018,12.426513950810179,17.483145425040068,13.506108524124018,13.506108524124018,1.420837526543866,1.420837526543866,1.420837526543866,-0.47008131762795946,-0.47008131762795946,-0.47008131762795946,1.8909188441718254,1.8909188441718254,1.8909188441718254,0.0,0.0,0.0,14.926946050667883
226,2019-08-15,13.532071370718857,12.509139332468814,17.634204449145738,13.532071370718857,13.532071370718857,1.5081083413553544,1.5081083413553544,1.5081083413553544,-0.4055202136587459,-0.4055202136587459,-0.4055202136587459,1.9136285550141001,1.9136285550141001,1.9136285550141001,0.0,0.0,0.0,15.040179712074211
227,2019-08-16,13.558034217313699,12.915818680435018,17.958554212341294,13.558034217313699,13.558034217313699,1.8586551244845069,1.8586551244845069,1.8586551244845069,-0.05945621655841248,-0.05945621655841248,-0.05945621655841248,1.9181113410429194,1.9181113410429194,1.9181113410429194,0.0,0.0,0.0,15.416689341798206
228,2019-08-17,13.569670681732383,13.725329884356842,19.07389102891517,13.569670681732383,13.569670681732383,2.804419221423263,2.804419221423263,2.804419221423263,0.9001688851270776,0.9001688851270776,0.9001688851270776,1.9042503362961853,1.9042503362961853,1.9042503362961853,0.0,0.0,0.0,16.374089903155646
229,2019-08-18,13.581307146151062,13.70172158740256,18.887022387957806,13.581307146151062,13.581307146151062,2.663096433284749,2.663096433284749,2.663096433284749,0.7907000898391813,0.7907000898391813,0.7907000898391813,1.8723963434455675,1.8723963434455675,1.8723963434455675,0.0,0.0,0.0,16.24440357943581
230,2019-08-19,13.592943610569746,12.560544430103176,17.8090442498646,13.592943610569746,13.592943610569746,1.5381191321401304,1.5381191321401304,1.5381191321401304,-0.28524902978209854,-0.28524902978209854,-0.28524902978209854,1.823368161922229,1.823368161922229,1.823368161922229,0.0,0.0,0.0,15.131062742709876
231,2019-08-20,13.604580074988426,12.17399892478514,17.575489448575,13.604580074988426,13.604580074988426,1.2878782731259604,1.2878782731259604,1.2878782731259604,-0.4705621973370151,-0.4705621973370151,-0.4705621973370151,1.7584404704629755,1.7584404704629755,1.7584404704629755,0.0,0.0,0.0,14.892458348114387
232,2019-08-21,13.61621653940711,12.08920169394181,17.26084175768085,13.61621653940711,13.61621653940711,1.2092381516248607,1.2092381516248607,1.2092381516248607,-0.47008131762792504,-0.47008131762792504,-0.47008131762792504,1.6793194692527857,1.6793194692527857,1.6793194692527857,0.0,0.0,0.0,14.825454691031972
