,ds,y
320,2019/11/17,2590.0
321,2019/11/18,3037.0
322,2019/11/19,3337.0
323,2019/11/20,3347.0
324,2019/11/21,2996.0
325,2019/11/22,2970.0
326,2019/11/23,2695.0
327,2019/11/24,3190.0
328,2019/11/25,2969.0
329,2019/11/26,3312.0
330,2019/11/27,3565.0
331,2019/11/28,3418.0
332,2019/11/29,3392.0
333,2019/11/30,3004.0
334,2019/12/1,3425.0
335,2019/12/2,3462.0
336,2019/12/3,3150.0
337,2019/12/4,3053.0
338,2019/12/5,3022.0
339,2019/12/6,3414.0
340,2019/12/7,2901.0
341,2019/12/8,2956.0
342,2019/12/9,3205.0
343,2019/12/10,3146.0
344,2019/12/11,3202.0
345,2019/12/12,2998.0
346,2019/12/13,3154.0
347,2019/12/14,3035.0
348,2019/12/15,2812.0
349,2019/12/16,3039.0
350,2019/12/17,3189.0
351,2019/12/18,3254.0
352,2019/12/19,3107.0
353,2019/12/20,3146.0
354,2019/12/21,2815.0
355,2019/12/22,2747.0
356,2019/12/23,3330.0
357,2019/12/24,3284.0
358,2019/12/25,3606.0
359,2019/12/26,3263.0
360,2019/12/27,3206.0
361,2019/12/28,3153.0
362,2019/12/29,2899.0
363,2019/12/30,3143.0
364,2019/12/31,3108.0
365,2020/1/1,2790.0
366,2020/1/2,3080.0
367,2020/1/3,3383.0
368,2020/1/4,3636.0
369,2020/1/5,2695.0
370,2020/1/6,3010.0
371,2020/1/7,3104.0
372,2020/1/8,3235.0
373,2020/1/9,3131.0
374,2020/1/10,3298.0
375,2020/1/11,3851.0
376,2020/1/12,3091.0
377,2020/1/13,3157.0
378,2020/1/14,3412.0
379,2020/1/15,3386.0
380,2020/1/16,3005.0
381,2020/1/17,3399.0
382,2020/1/18,3159.0
383,2020/1/19,3335.0
384,2020/1/20,3183.0
385,2020/1/21,3259.0
386,2020/1/22,3886.0
387,2020/1/23,3344.0
388,2020/1/24,3483.0
389,2020/1/25,3551.0
390,2020/1/26,3528.0
391,2020/1/27,3704.0
392,2020/1/28,3653.0
393,2020/1/29,3303.0
394,2020/1/30,2991.0
395,2020/1/31,3361.0
396,2020/2/1,3890.0
397,2020/2/2,3247.0
398,2020/2/3,4088.0
399,2020/2/4,3302.0
400,2020/2/5,3643.0
401,2020/2/6,3347.0
402,2020/2/7,3767.0
403,2020/2/8,3660.0
404,2020/2/9,3084.0
405,2020/2/10,3146.0
406,2020/2/11,3219.0
407,2020/2/12,3348.0
408,2020/2/13,3246.0
409,2020/2/14,3123.0
410,2020/2/15,2996.0
411,2020/2/16,3985.0
412,2020/2/17,3744.0
413,2020/2/18,4249.0
414,2020/2/19,3564.0
415,2020/2/20,3131.0
416,2020/2/21,3138.0
417,2020/2/22,3674.0
418,2020/2/23,3740.0
419,2020/2/24,3010.0
420,2020/2/25,3124.0
421,2020/2/26,3167.0
422,2020/2/27,4253.0
423,2020/2/28,3286.0
424,2020/2/29,2806.0
425,2020/3/1,3320.0
426,2020/3/2,3295.0
427,2020/3/3,3106.0
428,2020/3/4,3758.0
429,2020/3/5,3518.0
430,2020/3/6,3179.0
431,2020/3/7,3712.0
432,2020/3/8,3379.0
433,2020/3/9,3208.0
434,2020/3/10,3941.0
435,2020/3/11,3255.0
436,2020/3/12,3002.0
437,2020/3/13,3098.0
438,2020/3/14,3826.0
439,2020/3/15,3493.0
440,2020/3/16,4820.0
441,2020/3/17,4143.0
442,2020/3/18,4153.0
443,2020/3/19,3085.0
444,2020/3/20,3700.0
445,2020/3/21,3020.0
446,2020/3/22,3086.0
447,2020/3/23,3771.0
448,2020/3/24,4125.0
449,2020/3/25,3577.0
450,2020/3/26,3187.0
451,2020/3/27,3264.0
452,2020/3/28,4066.0
453,2020/3/29,3489.0
454,2020/3/30,3508.0
455,2020/3/31,3322.0
456,2020/4/1,4095.0
457,2020/4/2,4108.0
458,2020/4/3,3749.0
459,2020/4/4,4414.0
460,2020/4/5,4249.0
461,2020/4/6,4054.0
462,2020/4/7,4037.0
463,2020/4/8,3364.0
464,2020/4/9,3678.0
465,2020/4/10,4650.0
466,2020/4/11,3179.0
467,2020/4/12,2809.0
468,2020/4/13,3328.0
469,2020/4/14,3563.0
470,2020/4/15,3497.0
471,2020/4/16,3144.0
472,2020/4/17,3609.0
473,2020/4/18,3489.0
474,2020/4/19,3028.0
475,2020/4/20,4091.0
476,2020/4/21,4376.0
477,2020/4/22,4031.0
478,2020/4/23,3948.0
479,2020/4/24,3948.0
480,2020/4/25,3166.0
481,2020/4/26,3120.0
482,2020/4/27,3810.0
483,2020/4/28,4687.0
484,2020/4/29,3346.0
485,2020/4/30,4864.0
486,2020/5/1,3512.0
487,2020/5/2,3414.0
488,2020/5/3,2967.0
489,2020/5/4,3476.0
490,2020/5/5,3400.0
491,2020/5/6,3426.0
492,2020/5/7,3736.0
493,2020/5/8,3414.0
494,2020/5/9,3823.0
495,2020/5/10,3015.0
496,2020/5/11,3350.0
497,2020/5/12,3766.0
498,2020/5/13,4199.0
499,2020/5/14,3382.0
500,2020/5/15,3622.0
501,2020/5/16,3947.0
502,2020/5/17,4241.0
503,2020/5/18,4085.0
504,2020/5/19,4626.0
505,2020/5/20,4951.0
506,2020/5/21,3983.0
507,2020/5/22,3675.0
508,2020/5/23,4061.0
509,2020/5/24,4289.0
510,2020/5/25,3942.0
511,2020/5/26,3563.0
512,2020/5/27,4932.0
513,2020/5/28,5261.0
514,2020/5/29,4098.0
515,2020/5/30,4186.0
516,2020/5/31,3430.0
517,2020/6/1,3633.0
518,2020/6/2,4071.0
519,2020/6/3,4163.0
520,2020/6/4,3754.0
521,2020/6/5,3683.0
522,2020/6/6,4240.0
523,2020/6/7,4535.0
524,2020/6/8,4580.0
525,2020/6/9,4515.0
526,2020/6/10,4367.0
527,2020/6/11,3986.0
528,2020/6/12,3586.0
529,2020/6/13,3764.0
530,2020/6/14,4572.0
531,2020/6/15,5033.0
532,2020/6/16,4022.0
533,2020/6/17,3975.0
534,2020/6/18,4191.0
535,2020/6/19,3862.0
536,2020/6/20,3675.0
537,2020/6/21,3484.0
538,2020/6/22,3849.0
539,2020/6/23,3768.0
540,2020/6/24,4086.0
541,2020/6/25,3379.0
542,2020/6/26,3907.0
543,2020/6/27,3620.0
544,2020/6/28,3412.0
545,2020/6/29,4013.0
546,2020/6/30,4647.0
547,2020/7/1,4029.0
548,2020/7/2,4458.0
549,2020/7/3,4131.0
550,2020/7/4,4287.0
551,2020/7/5,3475.0
552,2020/7/6,5016.0
553,2020/7/7,4610.0
554,2020/7/8,4315.0
555,2020/7/9,4367.0
556,2020/7/10,4379.0
557,2020/7/11,3671.0
558,2020/7/12,3518.0
559,2020/7/13,3974.0
560,2020/7/14,3924.0
561,2020/7/15,4210.0
562,2020/7/16,5085.0
563,2020/7/17,4256.0
564,2020/7/18,4321.0
565,2020/7/19,4128.0
566,2020/7/20,4269.0
567,2020/7/21,5133.0
568,2020/7/22,4266.0
569,2020/7/23,3848.0
570,2020/7/24,4129.0
571,2020/7/25,4697.0
572,2020/7/26,4718.0
573,2020/7/27,4565.0
574,2020/7/28,4531.0
575,2020/7/29,4845.0
576,2020/7/30,5460.0
577,2020/7/31,4138.0
578,2020/8/1,4121.0
579,2020/8/2,3810.0
580,2020/8/3,4898.0
581,2020/8/4,4353.0
582,2020/8/5,4387.0
583,2020/8/6,3853.0
584,2020/8/7,3860.0
585,2020/8/8,3871.0
586,2020/8/9,3187.0
587,2020/8/10,3726.0
588,2020/8/11,4384.0
589,2020/8/12,4270.0
590,2020/8/13,4651.0
591,2020/8/14,5022.0
592,2020/8/15,4941.0
593,2020/8/16,4622.0
594,2020/8/17,4585.0
595,2020/8/18,4236.0
596,2020/8/19,3869.0
597,2020/8/20,4384.0
598,2020/8/21,3862.0
599,2020/8/22,3398.0
600,2020/8/23,3297.0
601,2020/8/24,3694.0
602,2020/8/25,3812.0
603,2020/8/26,3796.0
604,2020/8/27,4545.0
605,2020/8/28,4272.0
606,2020/8/29,4174.0
607,2020/8/30,4086.0
608,2020/8/31,4719.0
609,2020/9/1,4478.0
610,2020/9/2,3869.0
611,2020/9/3,4811.0
612,2020/9/4,4870.0
613,2020/9/5,3923.0
614,2020/9/6,3873.0
615,2020/9/7,4362.0
616,2020/9/8,4155.0
617,2020/9/9,4177.0
618,2020/9/10,4255.0
619,2020/9/11,4084.0
620,2020/9/12,3383.0
621,2020/9/13,3024.0
622,2020/9/14,3718.0
623,2020/9/15,3725.0
624,2020/9/16,3733.0
625,2020/9/17,3724.0
626,2020/9/18,3729.0
627,2020/9/19,3317.0
628,2020/9/20,3885.0
629,2020/9/21,4562.0
630,2020/9/22,5125.0
631,2020/9/23,4772.0
632,2020/9/24,5434.0
633,2020/9/25,5274.0
634,2020/9/26,4547.0
635,2020/9/27,4489.0
636,2020/9/28,4555.0
637,2020/9/29,4259.0
638,2020/9/30,5285.0
639,2020/10/1,4645.0
640,2020/10/2,3460.0
641,2020/10/3,3418.0
642,2020/10/4,3592.0
643,2020/10/5,4539.0
644,2020/10/6,4239.0
645,2020/10/7,4100.0
646,2020/10/8,4718.0
647,2020/10/9,4310.0
648,2020/10/10,3295.0
649,2020/10/11,3088.0
650,2020/10/12,3361.0
651,2020/10/13,3465.0
652,2020/10/14,3992.0
653,2020/10/15,3926.0
654,2020/10/16,3801.0
655,2020/10/17,4087.0
656,2020/10/18,3946.0
657,2020/10/19,4505.0
658,2020/10/20,4244.0
659,2020/10/21,3309.0
660,2020/10/22,4341.0
661,2020/10/23,4003.0
662,2020/10/24,3892.0
663,2020/10/25,4025.0
664,2020/10/26,3503.0
665,2020/10/27,3401.0
666,2020/10/28,3470.0
667,2020/10/29,3708.0
668,2020/10/30,4215.0
669,2020/10/31,3719.0
670,2020/11/1,3569.0
